"Price","Beds","Lon","Lat"
99.75,"1",-2.981809,53.40105
125.5,"1",-2.981809,53.40105
99.95,"1",-2.9888744,53.406082
42,"1",-2.967494,53.39327
63.995,"1",-2.9877796,53.40752
115,"1",-2.9836967,53.40138
125.95,"1",-2.9887738,53.406925
79.95,"1",-2.9863472,53.406075
69.95,"1",-2.9913952,53.405163
129,"1",-2.994005,53.41322
124,"1",-2.994005,53.41322
119.95,"1",-2.900694,53.39034
130,"1",-2.9900973,53.403034
97.5,"1",-2.984879,53.399166
75,"1",-2.9802752,53.397137
115,"1",-2.9813604,53.393326
195,"1",-2.9055676,53.382633
129,"1",-2.9936316,53.405594
125,"1",-2.9936316,53.405594
69.95,"1",-2.9820774,53.396374
114.95,"1",-2.924358,53.37975
124.95,"1",-2.9951167,53.407997
76.499,"1",-2.9706302,53.389664
53,"1",-2.8826504,53.436863
85,"1",-2.993885,53.407433
119.95,"1",-2.993446,53.406662
156,"1",-2.9961035,53.41031
100,"1",-2.9317772,53.38493
105,"1",-2.9487832,53.381607
255,"1",-2.993986,53.400143
90,"1",-2.9351437,53.374577
170,"1",-2.95808,53.385227
137,"1",-2.9974258,53.40831
135,"1",-2.9974258,53.40831
150,"1",-2.9585292,53.375103
80,"1",-2.896862,53.36615
117.5,"1",-2.8920636,53.38823
80,"1",-2.8482792,53.40793
60,"1",-3.036399,53.48915
90,"1",-3.0286977,53.48357
140,"1",-2.9166062,53.363907
65,"1",-2.8482792,53.40793
38,"1",-2.9149415,53.46987
80,"1",-2.8559773,53.375504
109,"1",-2.8750207,53.372498
65,"1",-2.8482792,53.40793
80,"1",-2.8502977,53.359776
70,"1",-2.913684,53.361477
110,"1",-2.8659678,53.37375
69,"1",-2.8576527,53.380337
94.75,"1",-3.024292,53.468967
50,"1",-2.851341,53.376686
50,"1",-3.0277238,53.473827
75,"1",-3.0207944,53.4789
110,"1",-3.0169907,53.483032
74.9,"1",-2.8502977,53.359776
55,"1",-2.8963375,53.492798
80,"1",-2.996349,53.495422
50,"1",-3.0277238,53.473827
50,"1",-3.0427244,53.484653
65,"1",-3.036399,53.48915
75,"1",-2.8109329,53.36392
185,"1",-2.9661093,53.399242
145,"1",-2.98139,53.3933
44.95,"1",-3.02301,53.39
40,"1",-2.944885,53.421494
73.999,"1",-2.9542136,53.407974
55,"1",-2.9459286,53.4305
55,"1",-2.9459286,53.4305
40,"1",-2.9403071,53.398125
58.5,"1",-2.976819,53.416958
77,"1",-2.9759169,53.422897
49.5,"1",-2.978268,53.415184
90,"1",-2.9757316,53.408894
295,"1",-2.9183352,53.414925
75,"1",-2.9030595,53.403355
40,"1",-2.97768,53.4312
67.967,"1",-2.985188,53.407333
59.95,"1",-2.97505,53.4231
120,"1",-2.98815,53.4122
99.5,"1",-2.9934535,53.41344
157,"1",-2.999763,53.41434
29,"1",-2.9482155,53.398335
90,"1",-2.97792,53.4028
95,"1",-2.88203,53.4254
85,"1",-2.98318,53.4142
119.95,"1",-2.9781,53.3949
139,"1",-2.983484,53.41532
124.995,"1",-2.9813604,53.393326
78,"1",-2.96278,53.3965
133,"1",-2.98318,53.4142
86.995,"1",-2.9499164,53.383217
94.995,"1",-2.98834,53.4285
99.95,"1",-2.98058,53.4035
58,"1",-3.01348,53.395153
115,"1",-2.900694,53.39034
101.48,"1",-2.98905,53.414
87.5,"1",-2.960247,53.381298
38.5,"1",-2.98177,53.4486
70,"1",-2.98414,53.4481
55,"1",-2.91371,53.3615
65,"1",-2.98993,53.4471
